uf_busca,cidade_busca,universidade_nome,campus_nome,nome,grau,turno,mensalidade,bolsa_integral_cotas,bolsa_integral_ampla,bolsa_parcial_cotas,bolsa_parcial_ampla,nota_integral_ampla,nota_integral_cotas,nota_parcial_ampla,nota_parcial_cotas
PB,Joao Pessoa,Universidade Paulista - UNIP,JOAO PESSOA II - Tambauzinho,Gestão de Recursos Humanos,Tecnológico,Curso a Distância,269.00,1,,,,555.44,,,
PB,Joao Pessoa,Universidade Paulista - UNIP,JOAO PESSOA I - Tambiá,Gestão de Recursos Humanos,Tecnológico,Curso a Distância,169.00,5,3,,,564.86,543.84,,
PB,Joao Pessoa,Universidade Pitágoras Unopar,JOAO PESSOA/PB II (7624) - Mangabeira,Gestão de Recursos Humanos,Tecnológico,Curso a Distância,209.00,1,1,,,590.76,539.38,,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,PAP JOÃO PESSOA 02 - Expedicionários,Gestão de Serviços Jurídicos e Notariais,Tecnológico,Curso a Distância,248.00,1,,,,617.26,,,
PB,Joao Pessoa,Universidade Cruzeiro do Sul - UNICSUL,"COESP - JOÃO PESSOA, PARAÍBA - Centro",Gestão do Agronegócio,Tecnológico,Curso a Distância,256.86,,,1,,,,530.38,
PB,Joao Pessoa,Centro Universitário de João Pessoa - Unipê - UNIPÊ,CAMPUS UNIPÊ - Água Fria,Gestão Financeira,Tecnológico,Noturno,360.60,3,2,,,599.40,564.74,,
PB,Joao Pessoa,Centro Universitário de João Pessoa - Unipê - UNIPÊ,CAMPUS UNIPÊ - Água Fria,Gestão Financeira,Tecnológico,Matutino,331.00,2,1,,,603.00,566.54,,
PB,Joao Pessoa,Centro Universitário Estácio de Ribeirão Preto - Estácio Ribeirão Pre - ESTÁCIO RIBEIRÃO PRE,EAD JOÃO PESSOA - BANCÁRIOS - PB - Tambaú,Gestão Financeira,Tecnológico,Curso a Distância,360.00,1,,,,569.90,,,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,JOÃO PESSOA (EPITACIO) - Expedicionário,Gestão Financeira,Tecnológico,Curso a Distância,278.00,1,,,,495.10,,,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,PAP JOÃO PESSOA 01 - Miramar,Gestão Financeira,Tecnológico,Curso a Distância,278.00,1,,,,450.00,,,
PB,Joao Pessoa,Faculdade Dom Bosco - FDB,POLO JOÃO PESSOA - Centro,Gestão Financeira,Tecnológico,Curso a Distância,1195.74,3,2,,,608.34,518.32,,
PB,Joao Pessoa,Universidade Cruzeiro do Sul - UNICSUL,"COESP - JOÃO PESSOA, PARAÍBA - Centro",Gestão Financeira,Tecnológico,Curso a Distância,259.91,,,1,,,,450.00,
PB,Joao Pessoa,Universidade Paulista - UNIP,JOAO PESSOA II - Tambauzinho,Gestão Financeira,Tecnológico,Curso a Distância,279.00,1,,,,524.96,,,
PB,Joao Pessoa,Faculdade de Tecnologia Coesp - FCOESP,CAMPUS PRINCIPAL - Manaíra,Gestão Hospitalar,Tecnológico,Noturno,315.00,2,1,,,572.64,564.60,,
